#S data
#N 4
#L f1  f2  size_at_f2  size_at_sample
2  7.51921  5295.07  1.99549 
2.098  7.51696  5066.31  2.00081 
2.196  7.51734  4855.3  1.99909 
2.294  7.51767  4660.03  1.99809 
2.392  7.51796  4478.78  1.99769 
2.49  7.51553  4310.08  2.00304 
2.588  7.51573  4152.65  2.00205 
2.686  7.51587  4005.4  2.00154 
2.784  7.51331  3867.36  2.00918 
2.882  7.515  3737.68  2.00339 
2.98  7.515  3615.63  2.0035 
3.078  7.51495  3500.54  2.00389 
3.176  7.5122  3391.83  2.01071 
3.274  7.51205  3288.98  2.01077 
3.372  7.51186  3191.52  2.0111 
3.47  7.51161  3099.05  2.01166 
3.568  7.51131  3011.19  2.01243 
3.666  7.51258  2927.6  2.01026 
3.764  7.51218  2847.97  2.01147 
3.862  7.50909  2772.02  2.01901 
3.96  7.51121  2699.52  2.01419 
4.058  7.51065  2630.22  2.01571 
4.156  7.50741  2563.92  2.02434 
4.254  7.50836  2500.43  2.02123 
4.352  7.50764  2439.57  2.02345 
4.45  7.50687  2381.18  2.02593 
4.548  7.50604  2325.12  2.02872 
4.646  7.50676  2271.24  2.02695 
4.744  7.50582  2219.43  2.02984 
4.842  7.50482  2169.56  2.03314 
4.94  7.50377  2121.53  2.03694 
5.038  7.50685  2075.24  2.03149 
5.136  7.50309  2030.6  2.03964 
5.234  7.50445  1987.51  2.03686 
5.332  7.50476  1945.9  2.03785 
5.43  7.50342  1905.7  2.04106 
5.528  7.50202  1866.83  2.04513 
5.626  7.50215  1829.23  2.04591 
5.724  7.50062  1792.84  2.05062 
5.822  7.50161  1757.59  2.04969 
5.92  7.50156  1723.45  2.05153 
6.018  7.49985  1690.35  2.05585 
6.116  7.49808  1658.25  2.06171 
6.214  7.49784  1627.11  2.0634 
6.312  7.4985  1596.88  2.06315 
6.41  7.49813  1567.52  2.06559 
6.508  7.49611  1539  2.0719 
6.606  7.49657  1511.28  2.07215 
6.704  7.496  1484.33  2.07514 
6.802  7.49379  1458.12  2.08291 
6.9  7.49562  1432.61  2.07994 
6.998  7.49328  1407.78  2.08709 
7.096  7.49244  1383.61  2.09119 
7.194  7.49249  1360.06  2.09262 
