#S data
#N 4
#L f1  f2  size_at_f2  size_at_sample
2  7.5192  8634.19  1.99138 
2.098  7.51991  8364.79  1.99016 
2.196  7.51627  8113.06  1.99795 
2.294  7.51691  7877.15  1.99458 
2.392  7.51917  7655.46  1.99043 
2.49  7.51709  7446.63  1.99257 
2.588  7.51764  7249.45  1.99131 
2.686  7.51386  7062.88  2.00077 
2.784  7.51599  6886  1.99297 
2.882  7.51645  6718.01  1.99187 
2.98  7.51423  6558.19  1.9957 
3.078  7.51462  6405.91  1.99392 
3.176  7.51498  6260.59  1.99279 
3.274  7.51267  6121.73  1.9974 
3.372  7.51296  5988.86  1.99558 
3.47  7.51323  5861.58  1.9943 
3.568  7.51346  5739.5  1.9935 
3.666  7.51102  5622.3  1.99832 
3.764  7.51119  5509.65  1.99682 
3.862  7.51132  5401.28  1.99573 
3.96  7.51142  5296.92  1.99498 
4.058  7.50886  5196.35  2.00103 
4.156  7.50889  5099.34  1.99967 
4.254  7.50888  5005.69  1.99862 
4.352  7.51046  4915.22  1.995 
4.45  7.50777  4827.76  1.99992 
4.548  7.50767  4743.15  1.99921 
4.646  7.50753  4661.23  1.9987 
4.744  7.50735  4581.88  1.99834 
4.842  7.50713  4504.97  1.99813 
4.94  7.50428  4430.38  2.00635 
5.038  7.504  4358  2.00595 
5.136  7.50529  4287.73  2.00025 
5.234  7.50493  4219.46  2.00032 
5.332  7.50454  4153.12  2.00049 
5.43  7.50411  4088.61  2.00075 
5.528  7.50364  4025.85  2.0011 
5.626  7.50474  3964.77  1.99874 
5.724  7.50419  3905.3  1.99915 
5.822  7.50361  3847.38  1.99962 
5.92  7.503  3790.93  2.00015 
6.018  7.49977  3735.91  2.00795 
6.116  7.49908  3682.25  2.00923 
6.214  7.49994  3629.9  2.00479 
6.312  7.49917  3578.81  2.00608 
6.41  7.49836  3528.94  2.0076 
6.508  7.49752  3480.23  2.00937 
6.606  7.49821  3432.66  2.00578 
6.704  7.49729  3386.17  2.00751 
6.802  7.49888  3340.72  2.00328 
6.9  7.49532  3296.29  2.01204 
6.998  7.4984  3252.83  2.0036 
7.096  7.49731  3210.31  2.00463 
7.194  7.49619  3168.71  2.00608 
7.292  7.49659  3127.98  2.00516 
7.39  7.49538  3088.11  2.0066 
7.488  7.49413  3049.06  2.00864 
7.586  7.4944  3010.8  2.00744 
7.684  7.49307  2973.32  2.00967 
7.782  7.49169  2936.59  2.01272 
7.88  7.49028  2900.58  2.01666 
7.978  7.4929  2865.27  2.00851 
8.076  7.49139  2830.65  2.01068 
8.174  7.4914  2796.68  2.01016 
8.272  7.48981  2763.36  2.01301 
8.37  7.49068  2730.66  2.01066 
8.468  7.49056  2698.57  2.01072 
8.566  7.48883  2667.06  2.01309 
8.664  7.48706  2636.13  2.01699 
8.762  7.4868  2605.75  2.01667 
8.86  7.48744  2575.9  2.01428 
8.958  7.48707  2546.59  2.01451 
9.056  7.48512  2517.78  2.01848 
9.154  7.48716  2489.48  2.01427 
9.252  7.48511  2461.65  2.01684 
9.35  7.48302  2434.3  2.02172 
9.448  7.4849  2407.4  2.01658 
9.546  7.48272  2380.96  2.02038 
9.644  7.48202  2354.94  2.02138 
9.742  7.48221  2329.36  2.0201 
9.84  7.48141  2304.18  2.02126 
9.938  7.4815  2279.41  2.02056 
10.036  7.4806  2255.04  2.02183 
10.134  7.48059  2231.05  2.0215 
10.232  7.47958  2207.43  2.0229 
10.33  7.47946  2184.18  2.02281 
10.428  7.47836  2161.28  2.02439 
10.526  7.47568  2138.74  2.03121 
10.624  7.47692  2116.53  2.02634 
10.722  7.4781  2094.66  2.02473 
10.82  7.47527  2073.11  2.02889 
10.918  7.47633  2051.89  2.02664 
11.016  7.4734  2030.97  2.0323 
11.114  7.47435  2010.35  2.02922 
11.212  7.47132  1990.03  2.03696 
11.31  7.47215  1970.01  2.0329 
11.408  7.47293  1950.26  2.03097 
11.506  7.46973  1930.8  2.03827 
11.604  7.47039  1911.6  2.03507 
11.702  7.47099  1892.68  2.03356 
11.8  7.46763  1874.01  2.04156 
11.898  7.4681  1855.6  2.03864 
11.996  7.46852  1837.43  2.03705 
12.094  7.46888  1819.52  2.03661 
12.192  7.46769  1801.84  2.03812 
12.29  7.46552  1784.39  2.04219 
12.388  7.46569  1767.18  2.04114 
12.486  7.46432  1750.19  2.04374 
12.584  7.46436  1733.42  2.04306 
12.682  7.46434  1716.87  2.04296 
12.78  7.46425  1700.53  2.04333 
12.878  7.46026  1684.4  2.05216 
12.976  7.46005  1668.47  2.05144 
13.074  7.45977  1652.74  2.05113 
13.172  7.45942  1637.21  2.05117 
13.27  7.45901  1621.87  2.05151 
13.368  7.45853  1606.72  2.05207 
13.466  7.45653  1591.76  2.05687 
13.564  7.45591  1576.98  2.05765 
13.662  7.45523  1562.37  2.05867 
13.76  7.45448  1547.94  2.05992 
13.858  7.456  1533.69  2.05599 
13.956  7.45511  1519.6  2.0574 
14.054  7.45414  1505.68  2.05896 
14.152  7.45311  1491.92  2.06069 
14.25  7.452  1478.32  2.06267 
14.348  7.45083  1464.88  2.06494 
14.446  7.44958  1451.59  2.06759 
14.544  7.45058  1438.45  2.06507 
14.642  7.44918  1425.47  2.06744 
14.74  7.44772  1412.63  2.07037 
14.838  7.44617  1399.93  2.07397 
14.936  7.44686  1387.38  2.07155 
15.034  7.44517  1374.96  2.07507 
15.132  7.4457  1362.68  2.07369 
15.23  7.44385  1350.54  2.07724 
15.328  7.44193  1338.53  2.08205 
15.426  7.44222  1326.65  2.08027 
15.524  7.44014  1314.89  2.08564 
15.622  7.44167  1303.27  2.08119 
15.72  7.43943  1291.76  2.08574 
15.818  7.43939  1280.38  2.08545 
15.916  7.43699  1269.12  2.09132 
16.014  7.43678  1257.98  2.09097 
16.112  7.43788  1246.95  2.08882 
16.21  7.43523  1236.04  2.09388 
16.308  7.43476  1225.24  2.09462 
16.406  7.43559  1214.55  2.09373 
16.504  7.4327  1203.97  2.09893 
16.602  7.43196  1193.49  2.10035 
16.7  7.43114  1183.13  2.10203 
16.798  7.42937  1172.86  2.10632 
16.896  7.43059  1162.7  2.10347 
16.994  7.42727  1152.64  2.11106 
17.092  7.42745  1142.68  2.10977 
17.19  7.42617  1132.82  2.11268 
17.288  7.42616  1123.05  2.11252 
17.386  7.42469  1113.38  2.11571 
17.484  7.42449  1103.81  2.11625 
17.582  7.42283  1094.32  2.1198 
17.68  7.42243  1084.93  2.12075 
17.778  7.42058  1075.63  2.12492 
17.876  7.41998  1066.41  2.12618 
17.974  7.41793  1057.28  2.13138 
18.072  7.41713  1048.24  2.13304 
18.17  7.4184  1039.28  2.13064 
18.268  7.41605  1030.41  2.13522 
18.366  7.41494  1021.61  2.13782 
18.464  7.41589  1012.9  2.13733 
18.562  7.41323  1004.27  2.14194 
18.66  7.4118  995.721  2.14529 
18.758  7.41241  987.247  2.14507 
