#S data
#N 4
#L f1  f2  size_at_f2  size_at_sample
2  23.2294  4362.33  4.30227 
2.098  23.2292  4173.09  4.30478 
2.196  23.2137  3998.53  4.32255 
2.294  23.2132  3836.99  4.32082 
2.392  23.2031  3687.05  4.33474 
2.49  23.2022  3547.49  4.33469 
2.588  23.1918  3417.26  4.34935 
2.686  23.1905  3295.44  4.35043 
2.784  23.1797  3181.24  4.36637 
2.882  23.1781  3073.96  4.36812 
2.98  23.167  2972.99  4.38597 
3.078  23.165  2877.77  4.38803 
3.176  23.1627  2787.84  4.39378 
3.274  23.1511  2702.75  4.41062 
3.372  23.1485  2622.13  4.41602 
3.47  23.1365  2545.63  4.43652 
3.568  23.1335  2472.94  4.44148 
3.666  23.1304  2403.79  4.44908 
3.764  23.1178  2337.91  4.47109 
3.862  23.1142  2275.08  4.47801 
3.96  23.1105  2215.1  4.48704 
4.058  23.1065  2157.77  4.49792 
4.156  23.0932  2102.92  4.5207 
4.254  23.0888  2050.39  4.53078 
4.352  23.0842  2000.05  4.54238 
4.45  23.0703  1951.74  4.5711 
4.548  23.0709  1905.36  4.57242 
4.646  23.0657  1860.79  4.5865 
4.744  23.0602  1817.93  4.60156 
4.842  23.0456  1776.67  4.62931 
4.94  23.0397  1736.94  4.64424 
5.038  23.0336  1698.64  4.66014 
5.136  23.0273  1661.71  4.67692 
5.234  23.0208  1626.06  4.69452 
5.332  23.0196  1591.64  4.70731 
5.43  23.0126  1558.38  4.72662 
5.528  22.9965  1526.23  4.75806 
5.626  22.9891  1495.12  4.77879 
5.724  22.9815  1465.02  4.80039 
5.822  22.9736  1435.86  4.82291 
5.92  22.971  1407.62  4.83603 
6.018  22.9626  1380.23  4.85977 
6.116  22.9541  1353.68  4.88446 
6.214  22.9453  1327.92  4.91021 
6.312  22.9417  1302.91  4.92779 
6.41  22.9324  1278.62  4.95457 
6.508  22.9229  1255.03  4.98264 
6.606  22.9131  1232.1  5.01214 
6.704  22.9085  1209.81  5.03233 
6.802  22.907  1188.12  5.05237 
6.9  22.8965  1167.02  5.08164 
6.998  22.8912  1146.48  5.10765 
7.096  22.8802  1126.48  5.13841 
7.194  22.8689  1107.01  5.17133 
7.292  22.8627  1088.02  5.1984 
7.39  22.851  1069.52  5.23358 
7.488  22.8476  1051.49  5.25822 
7.586  22.8407  1033.9  5.28866 
7.684  22.8281  1016.73  5.32486 
7.782  22.8153  999.984  5.36439 
7.88  22.8162  983.635  5.38658 
7.978  22.8028  967.67  5.42469 
8.076  22.7945  952.078  5.45899 
8.174  22.7892  936.845  5.49142 
8.272  22.7804  921.959  5.52755 
8.37  22.7659  907.409  5.56977 
8.468  22.765  893.183  5.60064 
8.566  22.75  879.271  5.64274 
8.664  22.7348  865.662  5.69027 
8.762  22.733  852.348  5.71989 
8.86  22.7172  839.319  5.76838 
8.958  22.7148  826.565  5.80077 
9.056  22.7036  814.078  5.84404 
9.154  22.6954  801.851  5.88529 
9.252  22.6836  789.875  5.93057 
9.35  22.6747  778.143  5.97362 
9.448  22.6624  766.647  6.02124 
9.546  22.6581  755.381  6.06131 
9.644  22.6483  744.338  6.10743 
9.742  22.6351  733.512  6.1571 
9.84  22.6247  722.895  6.20518 
9.938  22.6191  712.484  6.25017 
10.036  22.6049  702.271  6.30248 
10.134  22.5936  692.251  6.35365 
10.232  22.587  682.419  6.40136 
10.33  22.5719  672.77  6.45726 
10.428  22.5596  663.299  6.51191 
10.526  22.5521  654.002  6.56192 
10.624  22.5442  644.872  6.61388 
10.722  22.536  635.908  6.66756 
10.82  22.5275  627.103  6.72277 
10.918  22.5135  618.454  6.78081 
11.016  22.5043  609.957  6.8378 
11.114  22.4866  601.609  6.90064 
11.212  22.4767  593.405  6.95907 
11.31  22.4615  585.341  7.02325 
11.408  22.4509  577.416  7.08374 
11.506  22.44  569.624  7.14547 
11.604  22.4368  561.963  7.20336 
11.702  22.4252  554.43  7.26756 
11.8  22.4132  547.022  7.33282 
11.898  22.4009  539.736  7.39913 
11.996  22.3883  532.569  7.46655 
12.094  22.3753  525.518  7.53512 
12.192  22.362  518.581  7.60489 
12.29  22.3483  511.755  7.67593 
12.388  22.3422  505.037  7.74418 
12.486  22.3278  498.426  7.81702 
12.584  22.3131  491.919  7.89128 
12.682  22.298  485.513  7.96706 
12.78  22.2905  479.207  8.0397 
12.878  22.2747  472.998  8.1175 
12.976  22.2665  466.884  8.19309 
13.074  22.25  460.863  8.27304 
13.172  22.2333  454.934  8.35492 
13.27  22.2239  449.094  8.43356 
13.368  22.2065  443.342  8.51799 
13.466  22.2012  437.676  8.5972 
13.564  22.1831  432.094  8.68336 
13.662  22.1723  426.594  8.76758 
13.76  22.1535  421.175  8.85682 
13.858  22.1468  415.835  8.94145 
13.956  22.135  410.573  9.02998 
14.054  22.1153  405.387  9.12228 
14.152  22.1028  400.276  9.21313 
14.25  22.0947  395.238  9.30421 
14.348  22.074  390.272  9.40017 
14.446  22.0605  385.377  9.49515 
14.544  22.0467  380.551  9.59153 
14.642  22.0373  375.793  9.68803 
14.74  22.0228  371.102  9.78723 
14.838  22.0006  366.476  9.89029 
14.936  21.9902  361.916  9.99052 
15.034  21.9749  357.418  10.094 
15.132  21.9639  352.983  10.1976 
15.23  21.948  348.609  10.3038 
15.328  21.9364  344.295  10.4106 
15.426  21.9199  340.041  10.5197 
15.524  21.9077  335.844  10.6295 
15.622  21.8908  331.705  10.7415 
15.72  21.8736  327.622  10.855 
15.818  21.8606  323.595  10.9692 
15.916  21.843  319.622  11.0858 
16.014  21.8296  315.702  11.2031 
16.112  21.8115  311.836  11.3227 
16.21  21.7977  308.022  11.4431 
16.308  21.7792  304.258  11.566 
16.406  21.7651  300.546  11.6895 
16.504  21.7507  296.883  11.8146 
16.602  21.7318  293.269  11.9423 
16.7  21.7244  289.703  12.0695 
16.798  21.7052  286.185  12.2001 
16.896  21.6904  282.714  12.3318 
16.994  21.671  279.289  12.4659 
17.092  21.656  275.909  12.6009 
17.19  21.6366  272.575  12.7385 
17.288  21.6286  269.285  12.8756 
17.386  21.6135  266.039  13.0157 
17.484  21.5941  262.836  13.1581 
17.582  21.579  259.676  13.3016 
17.68  21.5598  256.558  13.4475 
17.778  21.5449  253.482  13.5944 
17.876  21.537  250.447  13.7424 
17.974  21.518  247.452  13.8932 
18.072  21.5035  244.498  14.0454 
18.17  21.485  241.584  14.1999 
18.268  21.4709  238.708  14.3556 
18.366  21.4528  235.872  14.5136 
18.464  21.4393  233.074  14.6728 
18.562  21.4218  230.314  14.8344 
18.66  21.409  227.591  14.9971 
18.758  21.3923  224.906  15.1622 
18.856  21.3802  222.258  15.3285 
18.954  21.3645  219.646  15.497 
19.052  21.3493  217.07  15.6673 
19.15  21.3387  214.53  15.839 
19.248  21.3247  212.025  16.0127 
19.346  21.3046  209.555  16.1889 
19.444  21.296  207.121  16.3657 
19.542  21.2774  204.72  16.5452 
19.64  21.2663  202.354  16.7258 
19.738  21.256  200.022  16.9081 
19.836  21.24  197.724  17.0927 
19.934  21.2251  195.459  17.2789 
20.032  21.2111  193.227  17.4667 
20.13  21.2089  191.028  17.6552 
20.228  21.1931  188.862  17.8463 
20.326  21.1827  186.728  18.0387 
20.424  21.1735  184.626  18.2327 
20.522  21.1592  182.556  18.4285 
20.62  21.1488  180.519  18.6257 
20.718  21.1374  178.512  18.8243 
20.816  21.1302  176.538  19.0241 
20.914  21.122  174.594  19.2254 
21.012  21.1117  172.682  19.4282 
21.11  21.1032  170.8  19.6321 
21.208  21.0966  168.95  19.8372 
21.306  21.0959  167.129  20.043 
21.404  21.0934  165.34  20.2501 
21.502  21.0826  163.58  20.4587 
21.6  21.078  161.851  20.6679 
21.698  21.0759  160.152  20.8779 
21.796  21.0722  158.483  21.0889 
21.894  21.0646  156.843  21.3008 
21.992  21.0701  155.234  21.5125 
22.09  21.0679  153.653  21.7253 
22.188  21.0685  152.103  21.9383 
22.286  21.0722  150.581  22.1516 
22.384  21.0684  149.089  22.3655 
22.482  21.0718  147.626  22.5792 
22.58  21.0745  146.192  22.7929 
22.678  21.0844  144.787  23.0062 
22.776  21.0835  143.411  23.2198 
22.874  21.0965  142.064  23.4324 
22.972  21.1003  140.746  23.6449 
23.07  21.1143  139.456  23.8564 
23.168  21.1217  138.194  24.0675 
23.266  21.1331  136.961  24.2774 
23.364  21.1485  135.756  24.4862 
23.462  21.1616  134.58  24.6939 
23.56  21.1748  133.431  24.9003 
23.658  21.1924  132.311  25.105 
23.756  21.212  131.219  25.3079 
23.854  21.2279  130.154  25.5092 
23.952  21.2524  129.117  25.7083 
24.05  21.2709  128.108  25.9054 
24.148  21.2983  127.127  26.0999 
24.246  21.3196  126.172  26.2922 
24.344  21.3417  125.246  26.4818 
24.442  21.3728  124.346  26.6684 
24.54  21.3979  123.473  26.8522 
24.638  21.428  122.628  27.0328 
24.736  21.4631  121.809  27.2099 
24.834  21.4965  121.017  27.3837 
24.932  21.5306  120.251  27.5539 
25.03  21.5629  119.512  27.7204 
25.128  21.6002  118.799  27.8829 
25.226  21.6383  118.111  28.0413 
25.324  21.6787  117.45  28.1956 
25.422  21.7268  116.815  28.3453 
25.52  21.7656  116.204  28.4909 
25.618  21.8094  115.62  28.6318 
25.716  21.8535  115.06  28.7681 
25.814  21.9069  114.525  28.8994 
25.912  21.9531  114.015  29.0259 
26.01  21.9994  113.529  29.1475 
26.108  22.0472  113.067  29.2641 
26.206  22.107  112.629  29.3752 
26.304  22.1587  112.215  29.4814 
26.402  22.2069  111.825  29.5823 
26.5  22.2668  111.457  29.6777 
26.598  22.3226  111.113  29.7679 
26.696  22.3822  110.791  29.8525 
26.794  22.4322  110.491  29.932 
26.892  22.4986  110.213  30.0057 
26.99  22.5548  109.958  30.0742 
27.088  22.6139  109.723  30.1372 
27.186  22.6755  109.51  30.1947 
27.284  22.7312  109.317  30.2469 
27.382  22.7974  109.145  30.2936 
27.48  22.8517  108.993  30.3352 
27.578  22.9216  108.861  30.3711 
27.676  22.9843  108.748  30.4019 
27.774  23.0425  108.654  30.4277 
27.872  23.1072  108.58  30.4482 
27.97  23.1668  108.523  30.4638 
28.068  23.2418  108.485  30.474 
28.166  23.3077  108.465  30.4796 
28.264  23.3676  108.461  30.4805 
28.362  23.4328  108.475  30.4766 
28.46  23.4913  108.506  30.4682 
28.558  23.5548  108.553  30.4552 
28.656  23.6108  108.616  30.438 
28.754  23.6815  108.695  30.4162 
28.852  23.7402  108.789  30.3905 
28.95  23.8072  108.897  30.3606 
29.048  23.8614  109.021  30.327 
29.146  23.9234  109.158  30.2895 
29.244  23.9827  109.31  30.2483 
29.342  24.0498  109.475  30.2034 
29.44  24.1026  109.653  30.1553 
29.538  24.1586  109.845  30.1039 
29.636  24.2151  110.048  30.0492 
29.734  24.2747  110.264  29.9915 
29.832  24.3302  110.492  29.9309 
29.93  24.3813  110.731  29.8675 
30.028  24.4396  110.982  29.8013 
30.126  24.4933  111.244  29.7327 
30.224  24.5496  111.516  29.6615 
30.322  24.5932  111.798  29.5882 
30.42  24.6517  112.09  29.5124 
30.518  24.6973  112.393  29.4348 
30.616  24.7451  112.704  29.3551 
30.714  24.7954  113.025  29.2735 
30.812  24.845  113.354  29.1901 
30.91  24.8888  113.692  29.1052 
31.008  24.9351  114.038  29.0186 
31.106  24.9754  114.393  28.9307 
31.204  25.0233  114.755  28.8413 
31.302  25.0653  115.124  28.7506 
31.4  25.1012  115.501  28.6589 
31.498  25.1395  115.885  28.5661 
31.596  25.1771  116.276  28.4723 
31.694  25.2174  116.673  28.3774 
31.792  25.2515  117.076  28.2818 
31.89  25.2884  117.486  28.1854 
31.988  25.3248  117.901  28.0883 
32.086  25.3551  118.322  27.9907 
32.184  25.3885  118.748  27.8925 
32.282  25.4215  119.18  27.7938 
32.38  25.4521  119.617  27.6947 
32.478  25.4825  120.058  27.5952 
32.576  25.5129  120.504  27.4954 
32.674  25.541  120.955  27.3954 
32.772  25.5693  121.41  27.2952 
32.87  25.6015  121.869  27.1947 
32.968  25.6183  122.332  27.0945 
33.066  25.649  122.798  26.9939 
33.164  25.6705  123.268  26.8935 
33.262  25.6902  123.742  26.7932 
