aperture           f1       f2_source   f2_slit   f2_numeric     fwhm    sigma   fwhm_refined
25  5  23.0547  24.5441  23.1313  2.347  0    4.92803
25  6  22.9901  24.4932  23.1313  2.347  0    5.39736
25  7  22.922  24.4366  22.6263  2.347  0    5.39736
25  8  22.8502  24.3733  22.6263  2.347  0    4.92803
25  9  22.7742  24.302  22.6263  2.347  0    4.92803
25  10  22.6937  24.221  22.6263  2.347  0    5.39736
25  11  22.6084  24.1283  22.1212  2.347  0    5.39736
25  12  22.5176  24.0211  22.1212  2.347  0    5.39736
25  13  22.4211  23.8957  22.1212  2.347  0    5.8667
25  14  22.318  23.7471  21.6162  2.347  0    5.8667
25  15  22.2078  23.5681  21.6162  7.041  0    7.74404
25  16  22.0897  23.3485  21.1111  7.041  0    7.74404
25  17  21.9628  23.0725  21.1111  7.041  0    13.8454
25  18  21.8261  22.7152  20.6061  7.041  0    15.2534
25  19  21.6784  22.2347  20.101  11.735  0    18.0694
25  20  21.5183  21.5537  19.0909  7.041  0    19.4774
25  21  21.3443  20.5138  17.5758  11.735  0    24.1708
25  22  21.1543  18.7299  16.0606  16.429  0    40.1282
25  23  20.9461  14.9582  15.5556  35.205  0    59.1363
25  24  20.717  1.69811  45.8586  39.899  0    21.8241
25  25  20.4636  117.805  43.3333  16.429  0    44.8216
25  26  20.1818  41.2033  35.7576  11.735  0    34.0269
25  27  19.8667  34.0816  32.2222  11.735  0    25.5788
25  28  19.5118  31.4041  30.7071  7.041  0    23.7015
25  29  19.1092  30  29.1919  7.041  0    18.0694
25  30  18.6486  29.1354  28.6869  7.041  0    19.0081
25  31  18.1165  28.5496  28.1818  7.041  0    17.6001
25  32  17.4947  28.1263  27.6768  7.041  0    15.7228
25  33  16.7586  27.8062  27.1717  7.041  0    11.9681
25  34  15.8734  27.5557  26.6667  7.041  0    8.68272
25  35  14.7887  27.3542  26.6667  7.041  0    10.5601
25  36  13.4286  27.1888  27.6768  7.041  0    8.68272
25  37  11.6727  27.0504  26.1616  7.041  0    8.68272
25  38  9.31915  26.933  26.1616  7.041  0    8.68272
25  39  6  26.8321  26.1616  7.041  0    8.68272
25  40  0.967742  26.7445  26.1616  7.041  0    8.21338
25  41  nan  26.6677  26.1616  7.041  0    7.74404
25  42  nan  26.5998  26.1616  7.041  0    7.74404
25  43  nan  26.5394  26.1616  7.041  0    7.27471
25  44  786  26.4853  26.1616  7.041  0    7.27471
25  45  110  26.4365  26.1616  7.041  0    7.74404
