# aperture           f1       f2_source   f2_slit   f2_numeric   fwhm
        227            5      23.0547     24.5441      23.1313        2.347
        227            6      22.9901     24.4932      23.1313        2.347
        227            7       22.922     24.4366      23.1313        2.347
        227            8      22.8502     24.3733      22.6263        2.347
        227            9      22.7742      24.302      22.6263        2.347
        227           10      22.6937      24.221      22.6263        2.347
        227           11      22.6084     24.1283      22.6263        2.347
        227           12      22.5176     24.0211      22.6263        2.347
        227           13      22.4211     23.8957      22.6263        2.347
        227           14       22.318     23.7471      22.1212        2.347
        227           15      22.2078     23.5681      22.1212        2.347
        227           16      22.0897     23.3485      22.1212        2.347
        227           17      21.9628     23.0725      22.1212        2.347
        227           18      21.8261     22.7152      22.1212        2.347
        227           19      21.6784     22.2347      21.6162        2.347
        227           20      21.5183     21.5537      21.6162        2.347
        227           21      21.3443     20.5138      21.6162        2.347
        227           22      21.1543     18.7299      21.1111        2.347
        227           23      20.9461     14.9582      21.1111        2.347
        227           24       20.717     1.69811      21.1111        7.041
        227           25      20.4636     117.805      20.6061        7.041
        227           26      20.1818     41.2033      20.6061        7.041
        227           27      19.8667     34.0816       20.101        7.041
        227           28      19.5118     31.4041       20.101        7.041
        227           29      19.1092          30       19.596        7.041
        227           30      18.6486     29.1354      19.0909       11.735
        227           31      18.1165     28.5496      19.0909       11.735
        227           32      17.4947     28.1263      18.5859       11.735
        227           33      16.7586     27.8062      18.0808       16.429
        227           34      15.8734     27.5557      17.5758       16.429
        227           35      14.7887     27.3542      17.5758       21.123
        227           36      13.4286     27.1888      17.0707       21.123
        227           37      11.6727     27.0504      16.5657       25.817
        227           38      9.31915      26.933      16.0606       30.511
        227           39            6     26.8321      15.5556       32.858
        227           40     0.967742     26.7445      15.5556       35.205
        227           41          nan     26.6677      15.0505       39.899
        227           42          nan     26.5998           60       49.287
        227           43          nan     26.5394           60       35.205
        227           44          786     26.4853      55.4545       30.511
        227           45          110     26.4365      49.3939       25.817
        227           46      70.2353     26.3924      43.3333       25.817
        227           47        55.92     26.3522      41.3131       21.123
        227           48      48.5455     26.3154      38.7879       21.123
        227           49      44.0488     26.2818      38.2828       21.123
        227           50      41.0204     26.2507      35.7576       16.429
        227           51      38.8421     26.2221      35.2525       16.429
        227           52         37.2     26.1956      33.7374       16.429
        227           53      35.9178     26.1709      33.2323       16.429
        227           54      34.8889     26.1479      32.7273       11.735
        227           55      34.0449     26.1265      32.7273       11.735
        227           56      33.3402     26.1064      32.2222       11.735
        227           57      32.7429     26.0876      31.2121       11.735
        227           58      32.2301     26.0699      30.7071       11.735
        227           59      31.7851     26.0532      30.7071       11.735
        227           60      31.3953     26.0375      30.7071       11.735
        227           61      31.0511     26.0226       30.202       11.735
        227           62      30.7448     26.0086       30.202       11.735
        227           63      30.4706     25.9953       29.697       11.735
        227           64      30.2236     25.9827       29.697       11.735
        227           65           30     25.9707       29.697       11.735
        227           66      29.7966     25.9592      29.1919        7.041
        227           67      29.6108     25.9483      29.1919        7.041
        227           68      29.4404      25.938      29.1919        7.041
        227           69      29.2836     25.9281      28.6869        7.041
        227           70      29.1388     25.9186      28.6869        7.041
        227           71      29.0046     25.9095      28.6869        7.041
        227           72        28.88     25.9009      28.1818        7.041
        227           73      28.7639     25.8925      28.1818        7.041
        227           74      28.6556     25.8846      28.1818        7.041
        227           75      28.5542     25.8769      28.1818        7.041
        227           76      28.4591     25.8695      28.1818        7.041
        227           77      28.3698     25.8625      28.1818        7.041
        227           78      28.2857     25.8557      27.6768        7.041
        227           79      28.2064     25.8491      27.6768        7.041
        227           80      28.1315     25.8428      27.6768        7.041
        227           81      28.0606     25.8367      27.6768        7.041
        227           82      27.9934     25.8308      27.6768        7.041
        227           83      27.9297     25.8251      27.6768        7.041
        227           84      27.8692     25.8196      27.6768        7.041
        227           85      27.8116     25.8143      27.6768        7.041
        227           86      27.7567     25.8092      27.6768        7.041
        227           87      27.7043     25.8042      27.6768        7.041
        227           88      27.6544     25.7994      27.6768        7.041
        227           89      27.6066     25.7947      27.1717        7.041
        227           90       27.561     25.7902      27.1717        7.041
        227           91      27.5172     25.7858      27.1717        7.041
        227           92      27.4753     25.7816      27.1717        7.041
        227           93      27.4351     25.7774      27.1717        7.041
        227           94      27.3965     25.7734      27.1717        7.041
        227           95      27.3594     25.7695      27.1717        7.041
        227           96      27.3237     25.7657      27.1717        7.041
        227           97      27.2894     25.7621      27.1717        7.041
        227           98      27.2564     25.7585      27.1717        7.041
        227           99      27.2245      25.755      27.1717        7.041
        227          100      27.1938     25.7516      27.1717        7.041
